"title_year","currency","movie_title"
"2015","USA","themartian"
NA,"USA","10000bc"
"2005","USA","theisland"
"2001","USA","town&country"
"2000","USA","goneinsixtyseconds"
"2000","USA","gladiator"
"2002","USA","minorityreport"
"2002","USA","harrypotterandthechamberofsecrets"
"2006","USA","casinoroyale"
"2001","USA","planetoftheapes"
"1991","USA","terminator2judgmentday"
"2009","USA","publicenemies"
"2007","USA","americangangster"
"1994","USA","truelies"
"2009","USA","thetakingofpelham123"
"2010","USA","littlefockers"
"2010","USA","theotherguys"
"1996","USA","eraser"
"2012","USA","djangounchained"
"1996","USA","thehunchbackofnotredame"
"2000","USA","theemperorsnewgroove"
"2012","USA","theexpendables2"
"2004","USA","nationaltreasure"
"2006","USA","eragon"
"2009","USA","wherethewildthingsare"
"2013","USA","epic"
"2010","USA","thetourist"
"1999","USA","endofdays"
"2006","USA","blooddiamond"
"2013","USA","thewolfofwallstreet"
"1995","USA","batmanforever"
"1997","USA","starshiptroopers"
"2012","USA","cloudatlas"
"2010","USA","legendoftheguardianstheowlsofgahoole"
"2004","USA","catwoman"
"2014","USA","hercules"
"2002","USA","treasureplanet"
"2009","USA","landofthelost"
"2014","USA","theexpendables3"
"2015","USA","pointbreak"
"2005","USA","sonofthemask"
"2015","USA","intheheartofthesea"
"2002","USA","theadventuresofplutonash"
"2010","USA","greenzone"
"2015","USA","thepeanutsmovie"
"1997","USA","thespanishprisoner"
"2001","USA","themummyreturns"
"2002","USA","gangsofnewyork"
"2011","USA","theflowersofwar"
"2007","USA","surfsup"
"2004","USA","thestepfordwives"
"2001","USA","blackhawkdown"
"2012","USA","thecampaign"
"1997","USA","thefifthelement"
"2010","USA","sexandthecity2"
"2000","USA","theroadtoeldorado"
"2012","USA","iceagecontinentaldrift"
"2015","USA","cinderella"
"2009","USA","thelovelybones"
"2003","USA","findingnemo"
"2003","USA","thelordoftheringsthereturnoftheking"
"2002","USA","thelordoftheringsthetwotowers"
"2014","USA","seventhson"
"2001","USA","laracrofttombraider"
"2014","USA","transcendence"
"2001","USA","jurassicparkiii"
"2011","USA","riseoftheplanetoftheapes"
"2008","USA","thespiderwickchronicles"
"2013","USA","agooddaytodiehard"
"2004","USA","thealamo"
"2004","USA","theincredibles"
"1995","USA","cutthroatisland"
"2010","USA","percyjackson&theolympiansthelightningthief"
"1997","USA","meninblack"
"1999","USA","toystory2"
"2010","USA","unstoppable"
"2001","USA","rushhour2"
"2000","USA","whatliesbeneath"
"2009","USA","cloudywithachanceofmeatballs"
"2009","USA","iceagedawnofthedinosaurs"
"2013","USA","thesecretlifeofwaltermitty"
"2000","USA","charliesangels"
"2006","USA","thedeparted"
"1998","USA","mulan"
"2008","USA","tropicthunder"
"2011","USA","thegirlwiththedragontattoo"
"1995","USA","diehardwithavengeance"
"2009","USA","sherlockholmes"
"2016","USA","benhur"
"2001","USA","atlantisthelostempire"
"2015","USA","alvinandthechipmunkstheroadchip"
"2008","USA","valkyrie"
"2008","USA","youdontmesswiththezohan"
"2015","USA","pixels"
"2001","USA","aiartificialintelligence"
"2003","USA","thehauntedmansion"
"1997","USA","contact"
"2000","USA","hollowman"
"2005","USA","theinterpreter"
"2013","USA","percyjacksonseaofmonsters"
"2003","USA","laracrofttombraiderthecradleoflife"
"2016","USA","nowyouseeme2"
"1997","USA","thesaint"
"2001","USA","spygame"
"2000","USA","missiontomars"
"2011","USA","rio"
"1999","USA","bicentennialman"
"1997","USA","volcano"
"1997","USA","thedevilsown"
"2002","USA","k19thewidowmaker"
"1982","USA","conanthebarbarian"
"2005","USA","cinderellaman"
"2010","USA","thenutcrackerin3d"
"2003","USA","seabiscuit"
"1996","USA","twister"
"2000","USA","castaway"
"2006","USA","happyfeet"
"2004","USA","thebournesupremacy"
"1997","USA","airforceone"
"2001","USA","oceanseleven"
"2011","USA","thethreemusketeers"
"2012","USA","hoteltransylvania"
"2007","USA","enchanted"
NA,"USA","hannibal"
"2012","USA","safehouse"
"2000","USA","102dalmatians"
"2011","USA","towerheist"
"2006","USA","theholiday"
"1998","USA","enemyofthestate"
"2009","USA","itscomplicated"
"2007","USA","oceansthirteen"
"2006","USA","openseason"
"2014","USA","divergent"
"2001","USA","enemyatthegates"
"2003","USA","therundown"
"1993","USA","lastactionhero"
"2005","USA","memoirsofageisha"
"2006","USA","thefastandthefurioustokyodrift"
"2011","USA","arthurchristmas"
"1998","USA","meetjoeblack"
"2002","USA","collateraldamage"
"1979","USA","allthatjazz"
"2012","USA","mirrormirror"
"2010","USA","scottpilgrimvstheworld"
"2003","USA","thecore"
"2000","USA","nuttyprofessoriitheklumps"
"2002","USA","scoobydoo"
"2012","USA","dredd"
"2006","USA","click"
"1982","USA","creepshow"
"2010","USA","cats&dogstherevengeofkittygalore"
"2008","USA","jumper"
"2008","USA","hellboyiithegoldenarmy"
"2007","USA","zodiac"
"2000","USA","the6thday"
"2003","USA","brucealmighty"
"2010","USA","theexpendables"
"1996","USA","missionimpossible"
"2012","USA","thehungergames"
"2011","USA","thehangoverpartii"
"1992","USA","batmanreturns"
"2006","USA","overthehedge"
"2002","USA","lilo&stitch"
"2006","USA","charlottesweb"
"1998","USA","deepimpact"
"2013","USA","red2"
"2005","USA","thelongestyard"
"2011","USA","alvinandthechipmunkschipwrecked"
"2013","USA","grownups2"
"2008","USA","getsmart"
"2003","USA","somethingsgottagive"
"2010","USA","shutterisland"
"2008","USA","fourchristmases"
"2005","USA","robots"
"1997","USA","face/off"
"2008","USA","bedtimestories"
"2002","USA","roadtoperdition"
"2011","USA","justgowithit"
NA,"USA","daredevil"
"1997","USA","conair"
"2008","USA","eagleeye"
"2003","USA","coldmountain"
"2010","USA","thebookofeli"
"1997","USA","flubber"
"1999","USA","thehaunting"
"1996","USA","spacejam"
"2006","USA","thepinkpanther"
"2008","USA","thedaytheearthstoodstill"
"1997","USA","conspiracytheory"
"2014","USA","fury"
"1998","USA","sixdayssevennights"
"2010","USA","yogibear"
"2002","USA","spiritstallionofthecimarron"
"2011","USA","zookeeper"
"1998","USA","lostinspace"
"2004","USA","themanchuriancandidate"
"1997","USA","dxc3xa9jxc3xa0vu"
"2015","USA","hoteltransylvania2"
NA,"USA","bewitched"
"1999","USA","fantasia2000"
"2002","USA","thetimemachine"
"1998","USA","mightyjoeyoung"
"2001","USA","swordfish"
"2005","USA","thelegendofzorro"
"1998","USA","whatdreamsmaycome"
"2000","USA","littlenicky"
"2005","USA","thebrothersgrimm"
"1996","USA","marsattacks!"
"2015","USA","evolution"
"1997","USA","theedge"
"2009","USA","surrogates"
"2000","USA","thirteendays"
"1996","USA","daylight"
"2013","USA","walkingwithdinosaurs3d"
"2000","USA","battlefieldearth"
"2003","USA","looneytunesbackinaction"
"2009","USA","nine"
"2003","USA","timeline"
"1997","USA","thepostman"
"1998","USA","babepiginthecity"
"2015","USA","thelastwitchhunter"
"2000","USA","redplanet"
"2006","USA","arthurandtheinvisibles"
"2009","€","oceans"
"2005","USA","asoundofthunder"
"2014","USA","pompeii"
"2015","USA","topcatbegins"
"2001","USA","abeautifulmind"
"1994","USA","thelionking"
"2012","USA","journey2themysteriousisland"
"2013","USA","cloudywithachanceofmeatballs2"
"2002","USA","reddragon"
"2004","USA","hidalgo"
"2011","USA","jackandjill"
"2003","USA","2fast2furious"
"2015","USA","thelittleprince"
"2007","USA","theinvasion"
"2000","USA","theadventuresofrocky&bullwinkle"
"2016","USA","thesecretlifeofpets"
"2003","USA","theleagueofextraordinarygentlemen"
"2013","USA","despicableme2"
"1996","USA","independenceday"
"1997","USA","thelostworldjurassicpark"
"2005","USA","madagascar"
"2006","USA","childrenofmen"
"2000","USA","xmen"
"2008","USA","wanted"
"1996","USA","therock"
"2006","USA","iceagethemeltdown"
"2004","USA","50firstdates"
"2007","USA","hairspray"
"2004","USA","exorcistthebeginning"
"1999","USA","inspectorgadget"
"2013","USA","nowyouseeme"
"2010","USA","grownups"
"2004","USA","theterminal"
NA,"USA","constantine"
"2009","USA","hotelfordogs"
"2000","USA","verticallimit"
"2007","USA","charliewilsonswar"
"2004","USA","sharktale"
"2006","USA","dreamgirls"
NA,"USA","life"
"2005","USA","becool"
"2005","USA","munich"
"2003","USA","tearsofthesun"
"2010","USA","killers"
"2015","USA","themanfromuncle"
"2004","USA","spanglish"
"2006","USA","monsterhouse"
"2001","USA","bandits"
"1995","USA","firstknight"
"1999","USA","annaandtheking"
"2011","USA","immortals"
"2005","USA","hostage"
"2000","USA","titanae"
"2003","USA","hollywoodhomicide"
"1998","USA","soldier"
"2009","USA","carriers"
"2001","USA","monkeybone"
"2004","USA","flightofthephoenix"
"2000","USA","unbreakable"
"2015","USA","minions"
"2011","USA","suckerpunch"
"1998","USA","snakeeyes"
"1998","USA","sphere"
"2016","USA","theangrybirdsmovie"
"2008","USA","foolsgold"
"2009","USA","funnypeople"
"2007","USA","thekingdom"
"2006","USA","talladeganightstheballadofrickybobby"
"2001","USA","drdolittle2"
"1995","USA","braveheart"
"2005","USA","jarhead"
"2007","USA","thesimpsonsmovie"
"2001","USA","themajestic"
"2001","USA","driven"
"2004","€","twobrothers"
"2004","USA","thevillage"
"1998","USA","doctordolittle"
"2002","USA","signs"
"2004","USA","shrek2"
"2006","USA","cars"
"1999","USA","runawaybride"
"2002","USA","xxx"
"2015","USA","thespongebobmoviespongeoutofwater"
"1996","USA","ransom"
"2009","USA","inglouriousbasterds"
"1991","USA","hook"
"1990","USA","diehard2"
"2003","USA","swat"
NA,"USA","sleepyhollow"
"2001","USA","vanillasky"
"2006","USA","ladyinthewater"
"2004","USA","avpalienvspredator"
"2009","USA","alvinandthechipmunksthesqueakquel"
"2002","USA","weweresoldiers"
"2013","USA","olympushasfallen"
"1998","USA","startrekinsurrection"
"2011","USA","battlelosangeles"
"2003","USA","bigfish"
"1994","USA","wolf"
"2011","USA","warhorse"
"2014","USA","themonumentsmen"
"1989","USA","theabyss"
"2010","USA","wallstreetmoneyneversleeps"
"2014","USA","draculauntold"
"1998","USA","thesiege"
"2007","USA","stardust"
"1997","USA","sevenyearsintibet"
"2011","USA","thedilemma"
"2002","USA","badcompany"
"2005","USA","doom"
"2002","USA","ispy"
"2012","USA","underworldawakening"
"2012","USA","rockofages"
"2002","USA","hartswar"
"2011","USA","killerelite"
"2002","USA","rollerball"
"2002","USA","ballisticecksvssever"
"1998","USA","hardrain"
"2001","USA","osmosisjones"
"2013","USA","legendsofozdorothysreturn"
"2015","USA","blackhat"
"2004","USA","skycaptainandtheworldoftomorrow"
"2006","USA","basicinstinct2"
"2013","USA","escapeplan"
"2014","USA","thelegendofhercules"
"2002","USA","thesumofallfears"
"2010","USA","thetwilightsagaeclipse"
"2001","USA","thescore"
"2010","USA","despicableme"
"1995","USA","moneytrain"
