title_year,budget,movie_title,gross
2012,125000000,'Total Recall',58877969
1999,125000000,'The 13th Warrior',32698899
2000,123000000,'How the Grinch Stole Christmas',260044825
2000,120000000,'Mission: Impossible 2',215409889
2000,120000000,'The Perfect Storm',182618434
2007,120000000,'Fantastic Four: Rise of the Silver Surfer',131921738
2012,120000000,'Life of Pi',124987022
2007,120000000,'Ghost Rider',115802596
2016,120000000,'Jason Bourne',108521835
2003,120000000,'Charlie's Angels: Full Throttle',100814328
2013,120000000,'Elysium',93050117
2013,120000000,'Oblivion',89107235
2002,120000000,'Stuart Little 2',64956806
2014,120000000,'RoboCop',58607007
2004,120000000,'The Chronicles of Riddick',57712751
2015,120000000,'Fantastic Four',56117548
2008,120000000,'Speed Racer',43945766
2005,120000000,'The Island',35818913
2010,120000000,'How Do You Know?',30212620
2016,120000000,'Trolls',0
2010,117000000,'Knight and Day',76423035
1999,115000000,'Star Wars Ep. I: The Phantom Menace',474544677
2005,115000000,'Star Wars Ep. III: Revenge of the Sith',380270577
2002,115000000,'Star Wars Ep. II: Attack of the Clones',310676740
2001,115000000,'Monsters, Inc.'',289423425
2013,115000000,'The Wolverine',132556852
1997,115000000,'Dante's Peak',67163857
2016,115000000,'The Huntsman: Winter\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s War',48003015
2002,115000000,'Windtalkers',40914068
2008,113500000,'Ast\xc3\x83\xc2\xa9rix aux Jeux Olympiques',999811
2010,112000000,'Gulliver's Travels',42779261
2013,110000000,'Gravity',274092705
2006,110000000,'Night at the Museum',250863268
2005,110000000,'Mr. and Mrs. Smith',186336279
2015,110000000,'San Andreas',155190832
2011,110000000,'The Smurfs',142614158
2007,110000000,'Live Free or Die Hard',134529403
2015,110000000,'The Divergent Series: Insurgent',130179072
2004,110000000,'Ocean's Twelve',125531634
1997,110000000,'Tomorrow Never Dies',125304276
2000,110000000,'The Patriot',113330342
2014,110000000,'300: Rise of an Empire',106580051
2004,110000000,'The Aviator',102608827
2011,110000000,'The Green Hornet',98780042
2011,110000000,'Real Steel',85463309
2010,110000000,'The A-Team',77222099
2013,110000000,'The Smurfs 2',71017784
2016,110000000,'The Divergent Series: Allegiant',66184051
2009,110000000,'The Taking of Pelham 123',65452312
2013,110000000,'Ender's Game',61737191
2004,110000000,'Home on the Range',50026353
1997,110000000,'Speed 2: Cruise Control',48097081
2005,110000000,'Kingdom of Heaven',47398413
2004,110000000,'Around the World in 80 Days',24004159
2001,109000000,'The Lord of the Rings: The Fellowship of the Ring',315544750
2003,109000000,'The Cat in the Hat',101018283
2001,109000000,'Ali',58183966
2015,108000000,'The Martian',228433663
2004,105000000,'I, Robot'',144801023
1999,105000000,'Stuart Little',140015224
2009,105000000,'The Princess and the Frog',104400899
2008,105000000,'10,000 B.C.'',94784201
2001,105000000,'Town & Country',6712451
2000,103300000,'Gone in 60 Seconds',101643008
2000,103000000,'Gladiator',187683805
2013,103000000,'The Hangover 3',112200072
2009,102500000,'Public Enemies',97104620
2006,102000000,'Casino Royale',167365000
2002,102000000,'Minority Report',132024714
2012,102000000,'Cloud Atlas',27108272
2002,100000000,'Harry Potter and the Chamber of Secrets',261987880
1991,100000000,'Terminator 2: Judgment Day',201858746
1995,100000000,'Batman Forever',184031112
2001,100000000,'Planet of the Apes',180011740
2004,100000000,'National Treasure',173005002
2012,100000000,'Django Unchained',162805434
2010,100000000,'Little Fockers',148438600
1994,100000000,'True Lies',146282411
2007,100000000,'American Gangster',130164645
2009,100000000,'Cloudy with a Chance of Meatballs',124870275
2010,100000000,'The Other Guys',119219978
2004,100000000,'Lemony Snicket's A Series of Unfortunate Events',118627117
2013,100000000,'The Wolf of Wall Street',116900694
2013,100000000,'Epic',107518682
